Geo Point;Geo Shape;OBJID;ID;Fusswegtyp;Strassenkategorie;Bemerkung
47.5767532183,7.63803155351;"{""type"": ""LineString"", ""coordinates"": [[7.63826959159219, 47.57708687096693], [7.638289046172721, 47.57706814873707], [7.638304630683279, 47.57704880358386], [7.638314683779552, 47.57702884735201], [7.638319914021439, 47.57694906443527], [7.638331336516012, 47.576801503508015], [7.63833755147803, 47.57673978720038], [7.638321777997323, 47.57670866014507], [7.638286738501662, 47.57669687556359], [7.638250791993224, 47.57669132514792], [7.638178039585535, 47.57669207942822], [7.637654850512034, 47.57667427714522], [7.637536019989385, 47.576671988977104], [7.6374955028173, 47.57667392887885], [7.637480989115485, 47.57669534064329]]}";327;327;Trottoir;Zone30;
47.5818394234,7.64873704265;"{""type"": ""LineString"", ""coordinates"": [[7.648809039578414, 47.58175791772415], [7.648773917455992, 47.58177380999124], [7.648751920589516, 47.58180127139338], [7.64872813015141, 47.5818424513714], [7.648728272659004, 47.581878596664005], [7.648691549345106, 47.581909825998125], [7.648669183878758, 47.58192473288868]]}";334;334;Fussweg_Park;Zone40;
47.5825282767,7.64835578128;"{""type"": ""LineString"", ""coordinates"": [[7.648539533984261, 47.582600615925955], [7.648239706622479, 47.58248212504627], [7.648171222190939, 47.582458100352774]]}";339;339;Trottoir;Begegnungszone;
47.5860461719,7.65166856029;"{""type"": ""LineString"", ""coordinates"": [[7.651719223780465, 47.58631537169121], [7.651665101744729, 47.58606826218163], [7.65149838944846, 47.58607167896833], [7.651499933456003, 47.585995643788806], [7.651499359563975, 47.58585199818113], [7.651718609426735, 47.58585595895664], [7.651861157235983, 47.586318457424305]]}";356;356;Platz;andere;
47.5862393028,7.65261424693;"{""type"": ""LineString"", ""coordinates"": [[7.652575999090049, 47.586205561508095], [7.65265249477699, 47.58627304417275]]}";359;359;Trottoir;Begegnungszone;
47.5745785444,7.63505575836;"{""type"": ""LineString"", ""coordinates"": [[7.634827453304898, 47.5733285053928], [7.634843759208451, 47.57336068432162], [7.63489239146439, 47.57363958664099], [7.635124855590205, 47.57497481120815], [7.635186138116667, 47.57532794375889], [7.635206562762123, 47.57544242586417], [7.635225047536021, 47.57554983320737], [7.635264936583283, 47.575781389180676], [7.635273483193439, 47.57583200019011]]}";362;362;Trottoir;Begegnungszone;
47.5730982514,7.63776568348;"{""type"": ""LineString"", ""coordinates"": [[7.63758507850289, 47.57311112454136], [7.637946288457842, 47.573085378281505]]}";368;368;Trottoir;Zone30;
47.5757402717,7.63757176698;"{""type"": ""LineString"", ""coordinates"": [[7.637977315117132, 47.57565347303664], [7.637946023560363, 47.57568767563464], [7.637316540998469, 47.57577943495528], [7.637218035751936, 47.575791843428846], [7.637182787585609, 47.57578803626473], [7.637156079660373, 47.575771974122944]]}";372;372;Trottoir;Zone30;
47.5738567411,7.64112736571;"{""type"": ""LineString"", ""coordinates"": [[7.640393498766262, 47.57456061569966], [7.640693111700484, 47.57437603116862], [7.640783899490377, 47.57432010367155], [7.640837086054311, 47.5742845761569], [7.640877917703319, 47.57425744320906], [7.640964271409474, 47.57418190803249], [7.641052492843774, 47.57409430000835], [7.641167155350662, 47.57395251288422], [7.641225874296221, 47.57386913811437], [7.641300652729371, 47.57375560648435], [7.641384830064628, 47.57360791837377], [7.641438655780193, 47.573492660372665], [7.641479237475432, 47.573396590981794], [7.641516835535303, 47.5732708835596], [7.641574030305462, 47.573038845483126], [7.641579632786953, 47.57300935438498], [7.641598594037665, 47.57298742167816], [7.641625201284151, 47.572977059512986]]}";378;378;Trottoir;Zone30;
47.5703993707,7.64015443291;"{""type"": ""LineString"", ""coordinates"": [[7.640819285004949, 47.570281692590626], [7.640790809245843, 47.57030365071145], [7.640713747228657, 47.57031860614919], [7.640200889750202, 47.57039488061607], [7.63971323401537, 47.57046578500323], [7.639609999757101, 47.57047949881475], [7.639546222712204, 47.570482828659635], [7.639510012499724, 47.57047322292457], [7.639489936678321, 47.57045328255584]]}";388;388;Trottoir;Zone30;
